subj,object,cond,firstfix,rt,regrab,nfix,totfix
18,blkpen,E,3066.667,3066.667,-,1,1466.667
18,no1candle,C,2700.0,2700.0,-,0,0.0
18,glasses,E,2166.667,4066.667,-,1,433.333
18,brush,C,1116.667,2733.333,-,0,0.0
19,clip,E,300.0,3933.333,-,2,1050.0
19,blkpen,C,1066.667,1066.667,-,0,0.0
19,brush,E,3116.667,3533.333,-,1,1050.0
19,smcandle,C,1400.0,1400.0,-,0,0.0
19,lgmscup,E,1350.0,2833.333,-,0,0.0
19,glasses,C,3500.0,3500.0,-,0,0.0
19,no1candle,E,1250.0,4100.0,-,2,833.333
19,tape,C,6333.333,6333.333,-,1,333.333
19,cards,E,1650.0,3733.333,R,2,683.333
19,thread,C,800.0,800.0,-,0,0.0
20,clip,C,1966.667,3266.667,-,0,0.0
20,blkpen,E,4466.667,5733.333,-,3,1050.0
20,brush,C,0.0,1800.0,-,0,0.0
20,smcandle,E,266.667,266.667,-,0,0.0
20,lgmscup,C,450.0,1333.333,-,0,0.0
20,glasses,E,1700.0,4400.0,-,1,200.0
20,no1candle,C,900.0,1600.0,-,0,0.0
20,tape,E,2233.333,2233.333,-,1,316.667
20,cards,C,966.667,1600.0,-,0,0.0
20,thread,E,600.0,600.0,-,0,0.0
21,no1candle,E,3266.667,3266.667,-,0,0.0
21,blkpen,C,1566.667,2400.0,-,0,0.0
21,lgmscup,E,1333.333,7400.0,-,1,150.0
21,tape,C,3766.667,7833.333,-,1,316.667
21,cards,E,1533.333,8066.667,-,1,333.333
21,thread,C,583.333,3700.0,-,0,0.0
21,brush,E,12566.667,14133.333,G,2,833.333
21,glasses,C,0.0,7133.333,-,2,333.333
21,clip,E,4166.667,4166.667,-,1,283.333
21,smcandle,C,3316.667,3666.667,-,0,0.0
23,clip,E,633.333,3600.0,-,0,0.0
23,tape,C,1183.333,3e3,-,1,166.667
23,lgmscup,E,766.667,2100.0,-,0,0.0
23,thread,C,1950.0,3800.0,-,0,0.0
23,brush,E,633.333,2666.667,-,1,816.667
23,smcandle,C,2333.333,4033.333,R,0,0.0
23,cards,E,1433.333,1433.333,-,1,816.667
23,blkpen,C,633.333,1866.667,-,2,700.0
23,no1candle,E,883.333,3333.333,-,0,0.0
23,glasses,C,4166.667,4166.667,-,0,0.0
24,clip,C,0.0,1366.667,-,0,0.0
24,tape,E,10833.333,15266.667,R,7,3850.0
24,lgmscup,C,1183.333,7133.333,-,0,0.0
24,thread,E,2566.667,2566.667,-,1,250.0
24,brush,C,1133.333,2e3,-,1,183.333
24,smcandle,E,2233.333,2233.333,-,1,533.333
24,cards,C,766.667,766.667,-,0,0.0
24,blkpen,E,2300.0,4166.667,-,1,833.333
24,no1candle,C,600.0,1500.0,-,0,0.0
24,glasses,E,3833.333,3833.333,-,0,0.0
25,cards,E,1500.0,1500.0,-,1,383.333
25,blkpen,C,2700.0,2700.0,-,1,416.667
25,clip,E,1e3,2833.333,-,0,0.0
25,glasses,C,750.0,4933.333,-,0,0.0
25,no1candle,E,1833.333,1833.333,-,0,0.0
25,smcandle,C,2800.0,2800.0,-,0,0.0
25,brush,E,2133.333,2133.333,-,0,0.0
25,thread,C,3233.333,3233.333,-,0,0.0
25,lgmscup,E,2633.333,2633.333,-,0,0.0
25,tape,C,1650.0,2e3,-,0,0.0
27,no1candle,E,22633.333,33433.333,G,2,533.333
27,blkpen,C,7100.0,7100.0,-,3,2733.333
27,clip,E,1166.667,3133.333,-,1,600.0
27,glasses,C,33.333,3566.667,-,0,0.0
27,cards,E,9533.333,12366.667,G,2,583.333
27,smcandle,C,3533.333,3533.333,-,2,583.333
27,lgmscup,E,2183.333,7633.333,-,0,0.0
27,tape,C,1433.333,1433.333,-,0,0.0
27,brush,E,6583.333,8300.0,G,0,0.0
27,thread,C,1633.333,1633.333,-,0,0.0
28,no1candle,C,1200.0,1200.0,-,0,0.0
28,blkpen,E,1566.667,4100.0,-,1,533.333
28,clip,C,1333.333,3366.667,-,1,233.333
28,glasses,E,3833.333,3833.333,-,1,316.667
28,cards,C,1600.0,2533.333,-,0,0.0
28,smcandle,E,1283.333,3433.333,-,1,383.333
28,lgmscup,C,983.333,7333.333,-,0,0.0
28,tape,E,1416.667,6533.333,-,2,700.0
28,brush,C,550.0,3166.667,-,0,0.0
28,thread,E,2166.667,3633.333,-,0,0.0
29,cards,E,2833.333,2833.333,-,0,0.0
29,thread,C,2500.0,2500.0,-,0,0.0
29,lgmscup,E,1933.333,3300.0,-,0,0.0
29,tape,C,1116.667,3700.0,-,1,133.333
29,no1candle,E,2433.333,2433.333,-,0,0.0
29,blkpen,C,1e3,1e3,-,1,233.333
29,clip,E,1950.0,2633.333,-,1,550.0
29,glasses,C,0.0,2500.0,-,0,0.0
29,brush,E,2200.0,2200.0,R,0,0.0
29,smcandle,C,2500.0,2500.0,-,0,0.0
30,cards,C,4333.333,4333.333,-,0,0.0
30,thread,E,1450.0,3500.0,-,1,200.0
30,lgmscup,C,4083.333,8400.0,-,0,0.0
30,tape,E,18100.0,18100.0,G,1,933.333
30,no1candle,C,4200.0,5366.667,-,0,0.0
30,blkpen,E,4233.333,6166.667,-,1,616.667
30,clip,C,2900.0,2900.0,-,0,0.0
30,glasses,E,0.0,7066.667,R,1,916.667
